1	ISCfr13_IS110_unknown	89.634	164	17	0	63567	63730	1362	1525	3.62e-51	209
1	ISEch13_IS110_unknown	89.441	161	17	0	63567	63727	1363	1523	1.68e-49	204
1	ISEsa2_IS110_unknown	85.065	154	23	0	63567	63720	1340	1493	1.33e-35	158
2	MITEYpe1_IS630_unknown	83.051	118	18	2	57240	57356	117	1	2.54e-20	106
32	IS1A_IS1_unknown	97.976	494	10	0	30074	30567	275	768	0.0	857
32	IS1A_IS1_unknown	98.394	249	4	0	29833	30081	1	249	3.21e-121	438
32	IS1S_IS1_unknown	97.773	494	11	0	30074	30567	275	768	0.0	852
32	IS1S_IS1_unknown	98.795	249	3	0	29833	30081	1	249	6.90e-123	444
32	IS1G_IS1_unknown	97.773	494	11	0	30074	30567	275	768	0.0	852
32	IS1G_IS1_unknown	98.394	249	4	0	29833	30081	1	249	3.21e-121	438
32	IS1SD_IS1_unknown	97.925	482	10	0	30074	30555	275	756	0.0	835
32	IS1SD_IS1_unknown	98.795	249	3	0	29833	30081	1	249	6.90e-123	444
32	IS1R_IS1_unknown	97.166	494	14	0	30074	30567	275	768	0.0	835
32	IS1R_IS1_unknown	98.394	249	4	0	29833	30081	1	249	3.21e-121	438
32	IS1D_IS1_unknown	96.964	494	15	0	30074	30567	275	768	0.0	830
32	IS1D_IS1_unknown	98.394	249	4	0	29833	30081	1	249	3.21e-121	438
32	IS1B_IS1_unknown	96.964	494	15	0	30074	30567	275	768	0.0	830
32	IS1B_IS1_unknown	98.795	249	3	0	29833	30081	1	249	6.90e-123	444
32	IS1X2_IS1_unknown	92.105	494	39	0	30074	30567	275	768	0.0	697
32	IS1X2_IS1_unknown	98.780	246	3	0	29833	30078	1	246	3.21e-121	438
32	IS1X4_IS1_unknown	91.498	494	42	0	30074	30567	275	768	0.0	680
32	IS1X4_IS1_unknown	95.122	246	12	0	29833	30078	1	246	3.28e-106	388
32	ISSen9_IS1_unknown	90.688	494	46	0	30074	30567	275	768	0.0	658
32	ISSen9_IS1_unknown	97.992	249	5	0	29833	30081	1	249	1.49e-119	433
32	IS1X1_IS1_unknown	90.688	494	46	0	30074	30567	275	768	0.0	658
32	IS1X1_IS1_unknown	89.431	246	26	0	29833	30078	1	246	7.30e-83	311
32	IS1F_IS1_unknown	90.283	494	48	0	30074	30567	275	768	0.0	647
32	IS1F_IS1_unknown	90.244	246	24	0	29833	30078	1	246	3.37e-86	322
32	IS1X3_IS1_unknown	89.879	494	50	0	30074	30567	276	769	1.06e-180	636
32	IS1X3_IS1_unknown	93.469	245	16	0	29837	30081	6	250	5.53e-99	364
32	ISKpn14_IS1_unknown	87.349	498	62	1	30071	30567	271	768	1.09e-160	569
32	ISKpn14_IS1_unknown	88.259	247	27	2	29833	30078	1	246	7.35e-78	294
36	IS1X2_IS1_unknown	97.396	768	20	0	18553	19320	768	1	0.0	1308
36	IS1X4_IS1_unknown	96.484	768	27	0	18553	19320	768	1	0.0	1269
36	IS1F_IS1_unknown	96.094	768	30	0	18553	19320	768	1	0.0	1253
36	IS1X1_IS1_unknown	95.833	768	32	0	18553	19320	768	1	0.0	1242
36	ISSen9_IS1_unknown	94.010	768	46	0	18553	19320	768	1	0.0	1164
36	IS1S_IS1_unknown	92.708	768	56	0	18553	19320	768	1	0.0	1109
36	IS1X3_IS1_unknown	92.689	766	56	0	18553	19318	769	4	0.0	1105
36	IS1SD_IS1_unknown	92.298	766	59	0	18555	19320	766	1	0.0	1088
36	IS1A_IS1_unknown	92.188	768	60	0	18553	19320	768	1	0.0	1086
36	IS1G_IS1_unknown	92.057	768	61	0	18553	19320	768	1	0.0	1081
36	IS1R_IS1_unknown	91.927	768	62	0	18553	19320	768	1	0.0	1075
36	IS1B_IS1_unknown	91.927	768	62	0	18553	19320	768	1	0.0	1075
36	IS1D_IS1_unknown	91.797	768	63	0	18553	19320	768	1	0.0	1070
36	ISKpn14_IS1_unknown	89.597	769	78	2	18553	19320	768	1	0.0	976
36	IS903B_IS5_IS903	100.000	83	0	0	43491	43573	1057	975	1.22e-35	154
36	IS903_IS5_IS903	100.000	83	0	0	43491	43573	1057	975	1.22e-35	154
36	IS102_IS5_IS903	100.000	83	0	0	43491	43573	1057	975	1.22e-35	154
39	MITEYpe1_IS630_unknown	100.000	34	0	0	38252	38285	1	34	1.95e-08	63.9
74	ISStma11_ISL3_unknown	80.430	1395	257	15	835	2221	1571	2957	0.0	1050
105	ISKpn21_ISNCY_IS1202	100.000	1380	0	0	1	1380	2278	899	0.0	2549
106	ISSm1_IS110_IS1111	93.650	1370	83	3	2	1368	1369	1	0.0	2045
106	ISEc76_IS110_IS1111	90.299	1371	126	6	2	1368	1368	1	0.0	1788
106	ISLad6_IS110_IS1111	88.881	1367	150	1	2	1368	1365	1	0.0	1681
106	IS1618_IS110_IS1111	88.670	1368	151	3	2	1368	1365	1	0.0	1664
106	ISCfr26_IS110_IS1111	87.281	1368	170	3	2	1368	1365	1	0.0	1559
107	IS4321R_IS110_IS1111	99.699	1327	3	1	8	1334	1326	1	0.0	2427
107	IS4321L_IS110_IS1111	97.061	1327	39	0	8	1334	1327	1	0.0	2235
107	IS4321_IS110_IS1111	97.061	1327	39	0	8	1334	1327	1	0.0	2235
107	IS5075_IS110_IS1111	93.218	1327	90	0	8	1334	1327	1	0.0	1953
108	IS3_IS3_IS3	99.921	1258	1	0	1	1258	1258	1	0.0	2318
108	ISEc17_IS3_IS3	99.841	1258	2	0	1	1258	1258	1	0.0	2313
108	IS3F_IS3_IS3	95.628	1258	55	0	1	1258	1258	1	0.0	2019
108	IS3H_IS3_IS3	93.021	1261	85	1	1	1258	1261	1	0.0	1838
108	ISSty2_IS3_IS3	82.372	1265	210	13	1	1258	1259	1	0.0	1088
108	ISEc16_IS3_IS3	81.789	1263	206	16	1	1258	1244	1	0.0	1037
108	IS1230B_IS3_IS3	81.438	1266	207	18	1	1258	1246	1	0.0	1011
108	ISEal1_IS3_IS3	81.432	1271	197	28	1	1258	1245	1	0.0	1003
108	ISPeat2_IS3_IS3	79.890	1268	221	21	1	1258	1244	1	0.0	898
109	ISKpn42_IS110_unknown	70.902	543	137	18	8	542	1	530	2.57e-23	108
110	ISEc68_IS5_IS5	99.912	1140	1	0	1	1140	1197	58	0.0	2100
110	ISKpn26_IS5_IS5	79.296	966	186	13	171	1129	1027	69	0.0	664
110	IS1405_IS5_IS5	93.846	65	4	0	579	643	605	541	1.49e-20	99.0
114	ISKpn21_ISNCY_IS1202	100.000	898	0	0	1	898	1	898	0.0	1659
116	ISSen4_IS3_IS407	99.645	846	3	0	1	846	919	74	0.0	1546
