qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
198_R	CP011626.1	1	160	1063	1222	5.3e-76	289.0	100.0	100	6538	160	1.0	0	23.97%	1567.00	Col440I_1_pld2
85	CP011626.1	241	1639	5131	6537	0.0	2167.0	94.476	41	6538	3389	0.4128061375036884	0	23.97%	1567.00	Col440I_1_pld2
198	CP024513.1	1	160	679	838	5.3e-76	289.0	100.0	100	3336	160	1.0	0	64.18%	2141.00	Col440I_1_pld2
85_R	CP024513.1	731	2711	1356	3336	0.0	3551.0	99.748	58	3336	3389	0.5845382118619061	0	64.18%	2141.00	Col440I_1_pld2
198_R	CP044375.1	1	160	841	1000	2.74e-73	280.0	98.75	100	2926	160	1.0	0	62.47%	1828.00	Col440I_1_pld2
85	CP044375.1	3	1657	1003	2670	0.0	2254.0	90.346	49	2926	3389	0.4883446444378873	0	62.47%	1828.00	Col440I_1_pld2
85_R	CP052420.1	1936	3387	31	1493	0.0	2177.0	93.183	43	2927	3389	0.4284449690174092	0	55.45%	1623.00	Col440I_1_pld2
198	CP052420.1	1	160	1496	1655	2.74e-73	280.0	98.75	100	2927	160	1.0	0	55.45%	1623.00	Col440I_1_pld2
85_R	CP052483.1	1936	3387	31	1493	0.0	2177.0	93.183	43	2927	3389	0.4284449690174092	0	55.45%	1623.00	Col440I_1_pld2
198	CP052483.1	1	160	1496	1655	2.74e-73	280.0	98.75	100	2927	160	1.0	0	55.45%	1623.00	Col440I_1_pld2
85_R	CP052530.1	1735	3213	2083	3574	0.0	2084.0	91.165	44	7256	3389	0.4364119209206255	0	20.56%	1492.00	Col440I_1_pld2
198	CP056671.1	1	160	1347	1506	1.98e-62	244.0	93.75	100	9509	160	1.0	0	21.83%	2076.00	Col440I_1_pld2
85_R	CP056671.1	607	2512	4414	6329	0.0	3112.0	96.142	56	9509	3389	0.5624077899085276	0	21.83%	2076.00	Col440I_1_pld2
198_R	CP067693.1	1	160	8937	9096	2.74e-73	280.0	98.75	100	12968	160	1.0	0	14.10%	1829.00	Col440I_1_pld2
85	CP067693.1	3	1657	9099	10767	0.0	2271.0	90.524	49	12968	3389	0.4883446444378873	0	14.10%	1829.00	Col440I_1_pld2
85	CP094901.1	592	3389	1	2798	0.0	5038.0	99.929	83	3549	3389	0.8256122750073768	0	83.35%	2958.00	Col440I_1_pld2
198_R	CP094901.1	1	160	2799	2958	5.3e-76	289.0	100.0	100	3549	160	1.0	0	83.35%	2958.00	Col440I_1_pld2
198_R	CP094911.1	1	160	1412	1571	2.74e-73	280.0	98.75	100	2933	160	1.0	0	51.82%	1520.00	Col440I_1_pld2
85	CP094911.1	3	1345	1574	2933	0.0	1992.0	92.669	40	2933	3389	0.3962820891118324	0	51.82%	1520.00	Col440I_1_pld2
